country,city,location,sourceNames,count,firstUpdated,lastUpdated
IN,Jaipur,"Police Commissionerate, Jaipur - RSPCB","data.gov.in, caaqm",13430,2018-03-09,2019-02-14
IN,Jaipur,"Adarsh Nagar, Jaipur- RSPCB",CPCB,28562,2017-10-16,2018-02-22
IN,Jaipur,"Shastri Nagar, Jaipur- RSPCB",CPCB,21412,2017-10-23,2018-02-22
IN,Jaipur,Police Commissionerate,CPCB,24661,2017-06-19,2017-10-24
IN,Jalandhar,"Civil Line, Jalandhar - PPCB","data.gov.in, caaqm",14445,2018-03-09,2019-02-14
IN,Jind,"Police Lines, Jind - HSPCB",caaqm,822,2019-02-12,2019-02-14
IN,Jodhpur,Collectorate Jodhpur - RSPCB,CPCB,155273,2016-03-21,2018-02-22
IN,Jodhpur,"Collectorate, Jodhpur - RSPCB","data.gov.in, caaqm",41864,2018-03-09,2019-02-14
IN,Jorapokhar,Tata Stadium - Jorapokhar - JSPCB,CPCB,38240,2017-04-20,2018-02-22
IN,Jorapokhar,"Tata Stadium, Jorapokhar - JSPCB","data.gov.in, caaqm",24622,2018-03-09,2019-02-14
IN,Kalaburagi,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB",caaqm,2093,2018-08-14,2019-02-14
IN,Kanpur,Nehru Nagar,CPCB,161698,2016-03-21,2018-02-22
IN,Kanpur,"Nehru Nagar, Kanpur - UPPCB","data.gov.in, caaqm",41842,2018-03-09,2019-02-14
IN,Kanpur,SPARTAN - IIT Kanpur,Spartan,1684,2013-12-14,2014-09-26
IN,Karnal,"Sector-12, Karnal - HSPCB",caaqm,864,2019-02-12,2019-02-14
IN,Khanna,"Kalal Majra, Khanna - PPCB",caaqm,40936,2018-04-18,2019-02-14
IN,Kolkata,RBU - WBSPCB,CPCB,3740,2016-06-28,2016-09-19
IN,Kolkata,"Rabindra Bharati University,Calcutta-WBSPCB",CPCB,14,2016-09-20,2016-09-20
IN,Kolkata,"Rabindra Bharati University, Kolkata - WBPCB","CPCB, caaqm",2213,2017-10-28,2018-11-06
IN,Kolkata,Victoria Memorial - WBSPCB,CPCB,275269,2016-06-25,2017-10-18
IN,Kolkata,"Rabindra Bharati University, Kolkata - WBSPCB",CPCB,56064,2016-09-20,2017-10-28
IN,Kolkata,Victoria Memorial - WBPCB,CPCB,10125,2017-10-18,2017-10-18
IN,Kolkata,"Victoria, Kolkata - WBPCB",caaqm,32480,2018-04-15,2019-02-14
